open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1669852800000,17153.40,17348.50,16851.20,16970.50,411051.309,1669939199999,7012379504.74513,2195426,203203.470,3467383896.16830,0
1669939200000,16970.50,17096.30,16760.00,17083.00,335039.215,1670025599999,5677269598.43320,1885103,169750.685,2877006307.69710,0
1670025600000,17083.00,17160.00,16850.10,16879.50,185257.242,1670111999999,3142125597.72860,1120052,91150.269,1546125066.87140,0
1670112000000,16879.50,17206.20,16874.10,17099.50,292090.868,1670198399999,4972708169.36580,1618863,153355.380,2611199881.52110,0
1670198400000,17099.50,17430.00,16860.60,16958.30,519961.390,1670284799999,8927523671.51991,2926850,255808.742,4393254058.16398,0
1670284800000,16958.20,17100.00,16899.90,17078.60,321330.613,1670371199999,5459567210.68660,1999108,163623.517,2780385201.01780,0
1670371200000,17078.70,17130.00,16655.00,16828.00,337778.925,1670457599999,5692590254.44704,1894001,162494.520,2738398161.19370,0
1670457600000,16828.00,17294.90,16710.40,17216.00,402157.335,1670543999999,6833210695.12541,2123523,212725.266,3615373453.22581,0
1670544000000,17216.00,17365.40,17052.00,17122.00,290231.183,1670630399999,4985683348.19390,1628630,145233.326,2495336272.14220,0
1670630400000,17122.00,17228.60,17081.00,17120.00,141895.207,1670716799999,2433765605.01130,868846,72264.377,1239539864.60900,0
1670716800000,17120.10,17265.00,17060.00,17077.30,171004.111,1670803199999,2932155202.03910,1012706,84191.709,1443762775.84990,0
1670803200000,17077.30,17237.90,16865.00,17200.00,335856.258,1670889599999,5711628347.72763,1742321,169725.380,2887096959.11760,0
1670889600000,17200.00,18100.00,17076.00,17777.10,596851.291,1670975999999,10490862496.70048,3060185,312688.716,5496071258.25060,0
1670976000000,17777.10,18400.00,17659.40,17803.90,627511.699,1671062399999,11268618570.91463,3317163,320955.657,5765108789.94941,0
1671062400000,17804.00,17849.50,17258.00,17351.80,437284.037,1671148799999,7667339751.05844,2399085,207475.110,3638418054.33910,0
1671148800000,17351.90,17528.00,16521.10,16624.10,622150.245,1671235199999,10567832471.04395,3252339,300805.629,5110619125.91950,0
1671235200000,16624.10,16790.00,16571.80,16768.00,248465.273,1671321599999,4146359913.83030,1457086,127451.595,2127052153.95930,0
1671321600000,16768.10,16872.00,16656.00,16730.30,185898.213,1671407999999,3110497440.07050,1129837,95900.130,1604846475.81080,0
1671408000000,16730.40,16809.60,16210.00,16429.20,344728.552,1671494399999,5726008366.05374,1920621,165589.710,2751191820.40590,0
1671494400000,16429.20,17049.60,16390.30,16887.20,476171.098,1671580799999,7997345166.42257,2490230,244941.416,4113556006.20877,0
1671580800000,16887.30,16924.20,16694.20,16819.60,227752.335,1671667199999,3830411850.77234,1277706,112775.443,1896896801.79350,0
1671667200000,16819.70,16861.90,16556.10,16815.50,306610.961,1671753599999,5129865155.45180,1576864,152999.217,2559938347.81280,0
1671753600000,16815.50,16960.00,16690.00,16776.40,264553.420,1671839999999,4451798691.03480,1351547,134466.878,2263072963.86950,0
1671840000000,16776.30,16859.90,16774.40,16828.90,82410.790,1671926399999,1386327837.91780,492881,41552.085,698998308.88990,0
1671926400000,16829.00,16850.00,16700.00,16824.40,144075.843,1672012799999,2419698734.49320,772341,71656.287,1203499336.33180,0
1672012800000,16824.50,16936.80,16781.10,16912.90,148128.699,1672099199999,2495552248.13920,806616,76793.753,1293884898.46760,0
1672099200000,16912.80,16968.00,16580.00,16698.20,262828.564,1672185599999,4408009231.49540,1303236,127575.521,2139679714.67570,0
1672185600000,16698.20,16778.30,16455.60,16539.00,344649.858,1672271999999,5727799258.57904,1597488,169600.703,2818905683.92620,0
1672272000000,16538.90,16659.00,16485.10,16630.30,208591.531,1672358399999,3460146192.04150,1012505,106311.864,1763493003.20090,0
1672358400000,16630.30,16666.60,16320.00,16601.20,295630.490,1672444799999,4881195596.85330,1311988,145078.787,2395678437.66540,0
1672444800000,16601.20,16640.00,16461.80,16537.60,134462.156,1672531199999,2227238361.66920,685007,65822.960,1090387416.10320,0
